id,question,conditionId,slug,resolutionSource,endDate,startDate,image,icon,description,outcomes,outcomePrices,volume,active,closed,marketMakerAddress,createdAt,updatedAt,closedTime,new,featured,submitted_by,archived,resolvedBy,restricted,groupItemTitle,groupItemThreshold,questionID,umaEndDate,enableOrderBook,orderPriceMinTickSize,orderMinSize,umaResolutionStatus,volumeNum,endDateIso,startDateIso,hasReviewedDates,volume1wk,volume1mo,volume1yr,clobTokenIds,umaBond,umaReward,volume1wkAmm,volume1moAmm,volume1yrAmm,volume1wkClob,volume1moClob,volume1yrClob,volumeClob,acceptingOrders,negRisk,negRiskMarketID,negRiskRequestID,ready,funded,acceptingOrdersTimestamp,cyom,pagerDutyNotificationEnabled,approved,clobRewards,rewardsMinSize,rewardsMaxSpread,spread,automaticallyResolved,oneHourPriceChange,oneWeekPriceChange,oneMonthPriceChange,oneYearPriceChange,lastTradePrice,bestAsk,automaticallyActive,clearBookOnStart,seriesColor,showGmpSeries,showGmpOutcome,manualActivation,negRiskOther,umaResolutionStatuses,pendingDeployment,deploying,rfqEnabled,holdingRewardsEnabled,feesEnabled,requiresTranslation,feeType,macro_pillar,sub_category,specific_feature,total_volume_usd,oneDayPriceChange,bestBid,deployingTimestamp,customLiveness,gameStartTime,liquidity,liquidityNum,liquidityAmm,liquidityClob,competitive,volume24hr,volume24hrClob,makerBaseFee,takerBaseFee,feeSchedule,feature
526836,Will U.S. GDP growth be less than -2% in Q1 2025?,0x8f06703f4da804562fcf06cb66586b085c1481e0de836bcc244d2d4c30076428,will-us-gdp-growth-be-less-than-2-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:15:53.897302Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""0"", ""1""]",162013.207461,True,True,,2025-03-04T16:56:35.748233Z,2025-05-01T16:20:34.124695Z,2025-04-30 17:18:20+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,<-2%,5,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7805,2025-04-30T17:18:20Z,True,0.001,5,resolved,162013.207461,2025-04-30,2025-03-04,True,42029.680735,109446.07852799995,162013.20746099993,"[""13155093818175202444360527925334190018613932058843989126713305952244158629050"", ""76006189013675324707012205250647039159293794374708342088949183026594680124438""]",500,5,,,,42029.680735,109446.07852799995,162013.20746099993,162013.207461,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x61fc84053e581123082af19cd6d0b6bd52feefa7c50638e158d874cdf36286ea,False,False,2025-03-04T17:14:46Z,False,False,True,,20,3.5,0.001,True,,-0.0625,-0.074,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,162013.207461,-0.116,,,,,,,,,,,,,,,GDP_QUARTERLY
526834,Will U.S. GDP growth be between 0% and -1% in Q1 2025?,0x2ea580218093cbe4cd95c808920c4d5749683253d5ce452e8df7dbaf1faac224,will-us-gdp-growth-be-between-0-and-1-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:15:24.984158Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""1"", ""0""]",74108.127123,True,True,,2025-03-04T16:56:35.053665Z,2025-05-02T00:22:34.831311Z,2025-04-30 17:18:16+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0% - (-1%),3,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7803,2025-04-30T17:18:16Z,True,0.001,5,resolved,74108.127123,2025-04-30,2025-03-04,True,25735.47895300001,50639.397187,74108.127123,"[""27106151707930931052959874697308512654778909464122189550271900351819241356101"", ""113306687013421453951560693556685913785982988558098815734447806767172274744881""]",500,5,,,,25735.47895300001,50639.397187,74108.127123,74108.127123,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x6ba9894205f449d343132cfb9db61c3ae4a0b8f77156f1b703ae27c661796900,False,False,2025-03-04T17:14:16Z,False,False,True,,20,3.5,0.001,True,,0.8695,0.7645,,1.0,1.0,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,74108.127123,0.8445,0.999,,,,,,,,,,,,,,GDP_QUARTERLY
526831,Will U.S. GDP growth be greater than 2% in Q1 2025?,0xb93d06094398583af003c0f2b3319e4cf2f080fb1e304aadfccbc870600751e0,will-us-gdp-growth-be-greater-than-2-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:13:44.938314Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""0"", ""1""]",99755.99141,True,True,,2025-03-04T16:56:33.765104Z,2025-05-01T16:20:34.079669Z,2025-04-30 17:18:18+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,>2%,0,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,2025-04-30T17:18:18Z,True,0.001,5,resolved,99755.99141,2025-04-30,2025-03-04,True,38983.45416800001,79670.19252300002,99755.99141000002,"[""71909278353124916267737117046527293852607983611227311183269026331693808454218"", ""62566693965025623495264329625426641692129320547907655518154518104042379009989""]",500,5,,,,38983.45416800001,79670.19252300002,99755.99141000002,99755.99141,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x664b30a4ae9f59fa293519a8ae9d87fa5fea54aa2460b69bc4a200f3171b3675,False,False,2025-03-04T17:12:06Z,False,False,True,,20,3.5,0.001,True,,-0.093,-0.0945,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,99755.99141,-0.0445,,,,,,,,,,,,,,,GDP_QUARTERLY
526832,Will U.S. GDP growth be between 2% and 1% in Q1 2025?,0xb14bbfde1f4fc2b37b16e0814f435e983fe971aa7a5f897693d828dba3fb6917,will-us-gdp-growth-be-between-2-and-1-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:14:08.837134Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""0"", ""1""]",92949.409877,True,True,,2025-03-04T16:56:34.27517Z,2025-05-02T00:22:34.364429Z,2025-04-30 17:18:18+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,2% - 1%,1,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7801,2025-04-30T17:18:18Z,True,0.001,5,resolved,92949.409877,2025-04-30,2025-03-04,True,31440.95895599999,76761.595122,92949.409877,"[""4177823317276762907725150501516012098729910922296855501022008386506967954193"", ""55475924097218767691878688792295596155985793893102196188820748328386689614521""]",500,5,,,,31440.95895599999,76761.595122,92949.409877,92949.409877,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x1172d6bb5aed954f9d374756b6c2c1ce4310e8903c195bebcbad5cb6d303a002,False,False,2025-03-04T17:12:28Z,False,False,True,,20,3.5,0.001,True,,-0.1745,-0.2395,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,92949.409877,-0.0945,,,,,,,,,,,,,,,GDP_QUARTERLY
526833,Will U.S. GDP growth be between 1% and 0% in Q1 2025?,0x7aaef4800c8b05472367f57ad830b80a6d17066dfbb185e3938cc28e1b41ff53,will-us-gdp-growth-be-between-1-and-0-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:14:54.828202Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""0"", ""1""]",80448.13308,True,True,,2025-03-04T16:56:34.625435Z,2025-05-01T16:20:34.105271Z,2025-04-30 17:18:14+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,1% - 0%,2,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7802,2025-04-30T17:18:14Z,True,0.001,5,resolved,80448.13308,2025-04-30,2025-03-04,True,30689.36373000001,67989.25469899998,80448.13308,"[""55596074298199271985305200460461737258363932660394912787890724100977178094588"", ""53864537276825186976120072697523449952954818811017389115772532055901138350915""]",500,5,,,,30689.36373000001,67989.25469899998,80448.13308,80448.13308,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x404bf7e6a579925a36a32ef1ec6e821e535fa6f0bae74da1a3b6b6bc14aff372,False,False,2025-03-04T17:13:46Z,False,False,True,,20,3.5,0.001,True,,-0.4445,-0.2445,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,80448.13308,-0.1495,,,,,,,,,,,,,,,GDP_QUARTERLY
526835,Will U.S. GDP growth be between -1% and -2% in Q1 2025?,0x9e56ea69b66119a0d9912ccb6f36df86541486d9ab68b90548b9f795c5b3eb74,will-us-gdp-growth-be-between-1-and-2-in-q1-2025,,2025-04-30T12:00:00Z,2025-03-04T17:15:44.1679Z,,,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q1 of 2025 scheduled for April 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.
","[""Yes"", ""No""]","[""0"", ""1""]",80917.712504,True,True,,2025-03-04T16:56:35.413253Z,2025-05-01T16:20:33.941989Z,2025-04-30 17:18:16+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,-1% - (-2%),4,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7804,2025-04-30T17:18:16Z,True,0.001,5,resolved,80917.712504,2025-04-30,2025-03-04,True,21820.382921,52178.941824,80917.71250399998,"[""6186415556533433032986186038765651326685095003400859613864272546046726812111"", ""13173751438178280696186957586593921186029094395370222703856774715324548809993""]",500,5,,,,21820.382921,52178.941824,80917.71250399998,80917.712504,False,True,0x4b0dd9cd9380d5f99bf0009a13b59e94ed82177ebccd21eea5366440a7fb7800,0x9f11f80f43816cb195b2bd66c08b8cd3b1631cdd0a4c6cc1e3b3a00bfdf5ef36,False,False,2025-03-04T17:14:36Z,False,False,True,,20,3.5,0.001,True,,-0.082,-0.1045,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,80917.712504,-0.435,,,,,,,,,,,,,,,GDP_QUARTERLY
540472,Will US GDP growth in Q2 2025 be greater than 2%?,0x52dde4a6bf4493e06461504e2651dc090b0e11bcdc6d486f727b0272d8e8880e,will-us-gdp-growth-in-q2-2025-be-greater-than-2,,2025-06-30T12:00:00Z,2025-04-30T20:17:50.971422Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q2 of 2025 scheduled for July 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.","[""Yes"", ""No""]","[""1"", ""0""]",586031.718861,True,True,,2025-04-30T19:49:18.299878Z,2025-08-01T00:49:56.073935Z,2025-07-30 17:48:07+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,>2%,0,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009800,2025-07-30T17:48:07Z,True,0.001,5,resolved,586031.718861,2025-06-30,2025-04-30,True,59957.742981,162228.98545699997,586031.7188609984,"[""74224518749811314301285135687839324392485461011072658977862741818030430857562"", ""82013943536347757073634190902922424052281140663282123243721506529069855164482""]",500,5,,,,59957.742981,162228.98545699997,586031.7188609984,586031.718861,False,True,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009800,0x18a902daf6fdebce41071c3936ad184fe01d230e5038ccc4aa553c9c448f7fd6,False,False,2025-04-30T20:16:42Z,False,False,True,"[{'id': '22358', 'conditionId': '0x52dde4a6bf4493e06461504e2651dc090b0e11bcdc6d486f727b0272d8e8880e', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 5, 'startDate': '2025-04-30', 'endDate': '2500-12-31'}]",100,3.5,0.001,True,,0.1845,0.3345,,1.0,1.0,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,586031.718861,0.1045,0.999,2025-04-30T20:13:10.199399Z,,,,,,,,,,,,,GDP_QUARTERLY
540477,Will US GDP growth in Q2 2025 be less than 2%?,0x67d0872435cb3ed0e7c135e24fdba3926477f78e603bc3dd9d4877095825a5f1,will-us-gdp-growth-in-q2-2025-be-less-than-2,,2025-06-30T12:00:00Z,2025-04-30T20:18:51.664503Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q2 of 2025 scheduled for July 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.","[""Yes"", ""No""]","[""0"", ""1""]",257405.343955,True,True,,2025-04-30T19:49:21.970956Z,2025-08-01T00:51:45.298986Z,2025-07-30 17:45:01+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,<-2%,5,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009805,2025-07-30T17:45:01Z,True,0.001,5,resolved,257405.343955,2025-06-30,2025-04-30,True,9370.056981,117196.488594,257405.34395499996,"[""56318906529398229645379298427733885493908437465961300913191750862970164167"", ""11353666036096089411675876747457812215954338868252043778397740373935458953494""]",500,5,,,,9370.056981,117196.488594,257405.34395499996,257405.343955,False,True,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009800,0xd2cf2f70a3073674bd723d2a526eb8d722d75400f70922bc321891cd1ba81e99,False,False,2025-04-30T20:17:44Z,False,False,True,"[{'id': '30171', 'conditionId': '0x67d0872435cb3ed0e7c135e24fdba3926477f78e603bc3dd9d4877095825a5f1', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 1, 'startDate': '2025-07-29', 'endDate': '2500-12-31'}]",50,3.5,0.001,True,,-0.002,-0.005,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,257405.343955,,,2025-04-30T20:13:10.205534Z,,,,,,,,,,,,,GDP_QUARTERLY
540476,Will US GDP growth in Q2 2025 be between -1% and -2%?,0x056922c3d59d4bc1e9897635dba92a7bb9d49418b5ab3681aaeff3b96e996749,will-us-gdp-growth-in-q2-2025-be-between-1-and-2,,2025-06-30T12:00:00Z,2025-04-30T20:18:51.655713Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q2 of 2025 scheduled for July 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.","[""Yes"", ""No""]","[""0"", ""1""]",274453.259876,True,True,,2025-04-30T19:49:21.229586Z,2025-07-31T16:42:29.809299Z,2025-07-30 17:50:13+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,-1-(-2%),4,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009804,2025-07-30T17:50:13Z,True,0.001,5,resolved,274453.259876,2025-06-30,2025-04-30,True,18144.591491,122203.87527099998,274453.259876,"[""10646203006551639975048739791165622578632745718982079337464219271455534930663"", ""7660056075145528638862142914829528479457738227414491195221257163147088499663""]",500,5,,,,18144.591491,122203.87527099998,274453.259876,274453.259876,False,True,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009800,0xbc3f6cd0ccfc9f7f1b260f93d36d462f40c1735e8606e94eb4b4645f9ee04566,False,False,2025-04-30T20:17:44Z,False,False,True,"[{'id': '30166', 'conditionId': '0x056922c3d59d4bc1e9897635dba92a7bb9d49418b5ab3681aaeff3b96e996749', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 1, 'startDate': '2025-07-29', 'endDate': '2500-12-31'}]",50,3.5,0.001,True,,-0.002,-0.0115,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,274453.259876,-0.002,,2025-04-30T20:13:10.204551Z,,,,,,,,,,,,,GDP_QUARTERLY
540475,Will US GDP growth in Q2 2025 be between 0% and -1%?,0x0077857a1825c2e441cb0d8e4259ed6d1ff97c68ea1d5b5dec16bb67182a5725,will-us-gdp-growth-in-q2-2025-be-between-0-and-1,,2025-06-30T12:00:00Z,2025-04-30T20:18:51.659216Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bea.png,"This market will resolve according to the seasonally adjusted and annualized GDP ""Advance Estimate"" release for Q2 of 2025 scheduled for July 30, 2025.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

The GDP release will be made available here: https://www.bea.gov/data/gdp/gross-domestic-product

Note: data in the first available GDP report is labelled by the BEA as an ""Advance Estimate"". The data found in the advance estimate will be used to resolve this market. Data may be revised during the following quarter or as a part of the next estimate's publication, however any revisions to GDP report data made after the release of the advance estimate will not be considered for this market's resolution.","[""Yes"", ""No""]","[""0"", ""1""]",453181.221211,True,True,,2025-04-30T19:49:20.498031Z,2025-07-31T16:40:41.406713Z,2025-07-30 17:49:05+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,0-(-1%),3,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009803,2025-07-30T17:49:05Z,True,0.001,5,resolved,453181.221211,2025-06-30,2025-04-30,True,37577.63883900001,244504.30783799992,453181.22121100005,"[""96202625653906430378867361689706212617229943283867429841741725604938858082826"", ""37636213609300526219596213164227943723332122770833255693719545739331941551340""]",500,5,,,,37577.63883900001,244504.30783799992,453181.22121100005,453181.221211,False,True,0x0eec90497327afa927e68bddf211d07773ce05ee1f1bd7bc76efaf2449009800,0x2d92280a9cd207b4eb6cf6c62fc491fdf41ef9dae38aa49e31502c5b2f8d6c07,False,False,2025-04-30T20:17:42Z,False,False,True,"[{'id': '22355', 'conditionId': '0x0077857a1825c2e441cb0d8e4259ed6d1ff97c68ea1d5b5dec16bb67182a5725', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 2, 'startDate': '2025-04-30', 'endDate': '2500-12-31'}]",50,3.5,0.001,True,,-0.0045,-0.0115,,1.0,0.001,True,True,,False,False,False,False,"[""proposed"", ""resolved""]",False,False,False,False,False,False,,GDP_GROWTH,GDP_QUARTERLY,GDP_QUARTERLY,453181.221211,-0.0035,,2025-04-30T20:13:10.203515Z,,,,,,,,,,,,,GDP_QUARTERLY
