market_id,macro_pillar,question,conditionId,slug,resolutionSource,endDate,startDate,image,icon,outcomes,outcomePrices,volume,active,closed,marketMakerAddress,createdAt,updatedAt,closedTime,new,featured,submitted_by,archived,resolvedBy,restricted,groupItemTitle,groupItemThreshold,questionID,umaEndDate,enableOrderBook,orderPriceMinTickSize,orderMinSize,umaResolutionStatus,volumeNum,hasReviewedDates,volume1wk,volume1mo,volume1yr,clobTokenIds,umaBond,umaReward,fpmmLive,volume1wkAmm,volume1moAmm,volume1yrAmm,volume1wkClob,volume1moClob,volume1yrClob,volumeClob,acceptingOrders,negRisk,negRiskMarketID,negRiskRequestID,ready,funded,cyom,pagerDutyNotificationEnabled,approved,clobRewards,rewardsMinSize,rewardsMaxSpread,spread,oneDayPriceChange,oneHourPriceChange,oneWeekPriceChange,oneMonthPriceChange,oneYearPriceChange,lastTradePrice,bestBid,bestAsk,clearBookOnStart,manualActivation,negRiskOther,umaResolutionStatuses,pendingDeployment,deploying,rfqEnabled,holdingRewardsEnabled,feesEnabled,requiresTranslation,feeType,total_volume,total_liquidity,endDateIso,startDateIso,automaticallyResolved,automaticallyActive,acceptingOrdersTimestamp,seriesColor,showGmpSeries,showGmpOutcome,gameStartTime,deployingTimestamp,customLiveness,liquidity,liquidityNum,liquidityAmm,liquidityClob,competitive,volume24hr,volume24hrClob,eventStartTime,groupItemRange,makerBaseFee,takerBaseFee,feeSchedule,fee,marketType,updatedBy,wideFormat,sentDiscord,marketGroup,umaEndDateIso,readyForCron,commentsEnabled,secondsDelay,volumeAmm,creator,volume24hrAmm,notificationsEnabled,category
506375,LABOR_MARKET,Unemployment rate over 4.2% in August?,0x59829579d22f803abe1f7ecb32d3005afc1b2bc4a890ae7a4bc7ace9b561559a,unemployment-rate-over-4pt2-for-august,,2024-09-06,2024-09-04T17:00:03.122699Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,"[""Yes"", ""No""]","[""0"", ""1""]",18427.785799,True,True,,2024-09-04T15:14:00.284601Z,2024-09-07T14:41:13.074241Z,2024-09-06 14:50:14+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,True,,0,0x1acfe290102117ecb21fb673ef6fd162f2a23d0c8604b35f30f472d4b6bfeb21,2024-09-06T14:50:14Z,True,0.001,5,resolved,18427.785799,True,0.0,0.0,0.0,"[""14407072844403660506670819307421658325972978526241009609994394555186968913537"", ""40222188708187255386638234204346175117458095678451553446207971000059739183326""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,18427.785799,False,False,,,False,False,False,False,True,"[{'id': '5647', 'conditionId': '0x59829579d22f803abe1f7ecb32d3005afc1b2bc4a890ae7a4bc7ace9b561559a', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 20, 'startDate': '2024-09-04', 'endDate': '2500-12-31'}]",50,3.5,0.001,-0.5745,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,18427.785799,0.0,2024-09-06,2024-09-04,True,True,2024-09-04T16:58:50Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
507262,LABOR_MARKET,Unemployment rate over 4.2% in September?,0x2f125afa062b2e1787d651449cd8ce04ad415912818dd7df72f42395cdc0e66f,unemployment-rate-over-4pt2-in-september,,2024-10-04,2024-09-16T21:54:38.352842Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,"[""Yes"", ""No""]","[""0"", ""1""]",15733.458491,True,True,,2024-09-16T21:03:28.944447Z,2024-10-05T14:50:42.525942Z,2024-10-04 15:07:12+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,True,,0,0x0b3f18010289a3b040794610e0c8109a73b0c916d560cdd4f1732e3cde72bb13,2024-10-04T15:07:12Z,True,0.001,5,resolved,15733.458491,True,0.0,0.0,0.0,"[""25034193551329598559221486278779035239800578152245654036257171431482462984330"", ""94525272911022276425559864767182853026084762842453446989455907411974973272370""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,15733.458491,False,,,,False,False,False,False,True,"[{'id': '6408', 'conditionId': '0x2f125afa062b2e1787d651449cd8ce04ad415912818dd7df72f42395cdc0e66f', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 5, 'startDate': '2024-09-16', 'endDate': '2500-12-31'}]",50,3.5,0.001,-0.6545,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,15733.458491,0.0,2024-10-04,2024-09-16,True,True,2024-09-16T21:53:30Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
509238,LABOR_MARKET,Unemployment rate over 4.1% in October?,0x9279e0735a365ab5fe94c671e172b9dc68e402fa9dab36db4d8e171785fcf40e,unemployment-rate-over-4pt1-in-october,,2024-11-01,2024-10-08T15:42:23.143Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/bls+logo.png,"[""Yes"", ""No""]","[""0"", ""1""]",517210.602913,True,True,,2024-10-08T14:42:58.862579Z,2024-11-02T13:51:15.763071Z,2024-11-01 14:40:31+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,True,,0,0x75e88b72cc141bbda078f12479853240a56dc9b0b5e8831417ccbe8e8ebcd6ef,2024-11-01T14:40:31Z,True,0.001,5,resolved,517210.602913,True,0.0,0.0,0.0,"[""33452350288513549254914757033264389754893259553323655636201453811665248668148"", ""3983050688356593768308511514049251063007099207298260480646025406180068050827""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,517210.602913,False,False,,,False,False,False,False,True,"[{'id': '8167', 'conditionId': '0x9279e0735a365ab5fe94c671e172b9dc68e402fa9dab36db4d8e171785fcf40e', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 30, 'startDate': '2024-10-08', 'endDate': '2500-12-31'}]",50,3.5,0.001,-0.5045,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,517210.602913,0.0,2024-11-01,2024-10-08,True,True,2024-10-08T15:41:14Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
513038,LABOR_MARKET,Will the November unemployment rate be 4.0% or less?,0xe9efd4e41b8109b02b36718095bfe4a24c3cab31608d3d11038d53cf99f88f07,november-unemployment-rate,,2024-12-06,2024-11-14T21:01:19.263902Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,"[""Yes"", ""No""]","[""0"", ""1""]",16252.992255,True,True,,2024-11-14T20:52:10.361702Z,2024-12-07T16:37:16.406499Z,2024-12-06 16:50:22+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,≤4.0%,0,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad000,2024-12-06T16:50:22Z,True,0.001,5,resolved,16252.992255,True,0.0,0.0,0.0,"[""88250205877358235151030677867576072302993091684099763396950494911398939941642"", ""59577580489367413385575598584424752565794965860060604538587394744996029523813""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,16252.992255,False,True,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad000,0xad670d2b26750ec9e4f8a57048c6b0e7377eaf281e1ca4a7a9289bff2dddb931,False,False,False,False,True,"[{'id': '10463', 'conditionId': '0xe9efd4e41b8109b02b36718095bfe4a24c3cab31608d3d11038d53cf99f88f07', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-11-14', 'endDate': '2500-12-31'}]",20,3.5,0.001,-0.1945,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,16252.992255,0.0,2024-12-06,2024-11-14,True,True,2024-11-14T21:00:08Z,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
513039,LABOR_MARKET,Will the November unemployment rate be 4.1%?,0x44d97a2b28be0af7759eee93e231341d0820ad38e3322b3e3196e217081aaeae,november-unemployment-rate,,2024-12-06,2024-11-14T21:02:30.083981Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,"[""Yes"", ""No""]","[""0"", ""1""]",20764.797282,True,True,,2024-11-14T20:53:15.62204Z,2024-12-07T15:13:10.713633Z,2024-12-06 16:46:00+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.1%,1,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad001,2024-12-06T16:46:00Z,True,0.001,5,resolved,20764.797282,True,0.0,0.0,0.0,"[""80390185655324902184478857342980002306283369529689854984340358325000300956376"", ""24203504459674174410320208403930072698180983880413973165200644090533493966959""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,20764.797282,False,True,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad000,0xa485c2b0b6ab4c69e00e0eb07de1232dadaf4a0b88e2ece313b70550c353ea61,False,False,False,False,True,"[{'id': '10462', 'conditionId': '0x44d97a2b28be0af7759eee93e231341d0820ad38e3322b3e3196e217081aaeae', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-11-14', 'endDate': '2500-12-31'}]",20,3.5,0.001,-0.3345,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,20764.797282,0.0,2024-12-06,2024-11-14,True,True,2024-11-14T21:01:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
513040,LABOR_MARKET,Will the November unemployment rate be 4.2%?,0x6c14044d4a6daae5af5019aeb2fc81ac029d2b84736e02f4770e868d106069dc,november-unemployment-rate,,2024-12-06,2024-11-14T21:03:30.3402Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,"[""Yes"", ""No""]","[""1"", ""0""]",11421.730305,True,True,,2024-11-14T20:53:35.086157Z,2024-12-07T14:09:13.195934Z,2024-12-06 16:45:50+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.2%,2,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad002,2024-12-06T16:45:50Z,True,0.001,5,resolved,11421.730305,True,0.0,0.0,0.0,"[""58897894257733241287134760592694109042411228969146294776009400909950630673055"", ""5431184098965755772138358077488784557097030943265821973848739595624640937480""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,11421.730305,False,True,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad000,0xab5de4893bc21382cff721d3d90a814761e0f4e1fc8f4d5402a0b580154ccd27,False,False,False,False,True,"[{'id': '10461', 'conditionId': '0x6c14044d4a6daae5af5019aeb2fc81ac029d2b84736e02f4770e868d106069dc', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-11-14', 'endDate': '2500-12-31'}]",20,3.5,0.001,0.6495,0.0,0.0,0.0,0.0,1.0,0.999,1.0,True,False,False,[],False,False,False,False,False,False,,11421.730305,0.0,2024-12-06,2024-11-14,True,True,2024-11-14T21:02:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
513041,LABOR_MARKET,Will the November unemployment rate be 4.3% or more?,0x31d7fbf8a4b08ea07e3ffa283d9c5acbaaadf247da08a57e9f0795f6f742f4bd,november-unemployment-rate,,2024-12-06,2024-11-14T21:05:09.65106Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/november-unemployment-rate-8CjukxgIBtzB.jpg,"[""Yes"", ""No""]","[""0"", ""1""]",19948.848145,True,True,,2024-11-14T20:54:31.935113Z,2024-12-07T16:37:20.016887Z,2024-12-06 16:45:46+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,≥4.3%,3,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad003,2024-12-06T16:45:46Z,True,0.001,5,resolved,19948.848145,True,0.0,0.0,0.0,"[""76103504309071719433959734724784925843864935071671610870013226110519466456413"", ""38448042948374115924780246637851149639952655950279383225975707437514981115926""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,19948.848145,False,True,0xaf1d939b7146e51fb49ee58b6251b5d46d276c124a3dd1d8fb53d83f5a6ad000,0x8f9407c797a5680253c3fdc406033fb54d5b5be6828100349528e38018f359b2,False,False,False,False,True,"[{'id': '10460', 'conditionId': '0x31d7fbf8a4b08ea07e3ffa283d9c5acbaaadf247da08a57e9f0795f6f742f4bd', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-11-14', 'endDate': '2500-12-31'}]",20,3.5,0.001,-0.0945,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,19948.848145,0.0,2024-12-06,2024-11-14,True,True,2024-11-14T21:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
515422,LABOR_MARKET,Will US unemployment be 4.1% or lower in December 2024?,0x4421ddf25598700841a09acfc93a847e721d4b5ee5dfc064781ae32dd3d30be3,december-unemployment-rate,,2025-01-10,2024-12-11T21:31:26.459723Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/december-unemployment-rate-8CZdTVSmXwhb.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/unemployed1.png,"[""Yes"", ""No""]","[""1"", ""0""]",19197.888351,True,True,,2024-12-11T21:23:36.379671Z,2026-01-20T05:07:46.972963Z,2025-01-10 16:50:18+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,≤4.1%,0,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce200,2025-01-10T16:50:18Z,True,0.001,5,resolved,19197.888351,True,0.0,0.0,0.0,"[""1247925380970169687254978102814603656552506944854023722998084556211414283724"", ""91395709030231804405382454161772658567347067370459124586645101972952779745375""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,19197.888351,False,True,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce200,0x249877ce45ad92535fdfa214cace461c3021b6594b639b3caecffbbe602fa506,False,False,False,False,True,"[{'id': '11655', 'conditionId': '0x4421ddf25598700841a09acfc93a847e721d4b5ee5dfc064781ae32dd3d30be3', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-12-11', 'endDate': '2500-12-31'}]",50,3.5,0.975,0.8895,0.0,0.0,0.0,0.0,1.0,0.025,1.0,True,False,False,[],False,False,False,False,False,False,,19197.888351,0.0,2025-01-10,2024-12-11,True,True,2024-12-11T21:30:15Z,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
515423,LABOR_MARKET,Will US unemployment be 4.2% in December 2024?,0x5223a88202095ceb6b3091bf8ac2aaba5b74e92ec846b1a5cd37a1e51f59f48b,december-unemployment-rate,,2025-01-10,2024-12-11T21:32:07.050128Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/december-unemployment-rate-8CZdTVSmXwhb.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/unemployed1.png,"[""Yes"", ""No""]","[""0"", ""1""]",7293.09307,True,True,,2024-12-11T21:24:06.098118Z,2026-01-20T05:07:47.634905Z,2025-01-10 16:45:44+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.2%,1,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce201,2025-01-10T16:45:44Z,True,0.001,5,resolved,7293.09307,True,0.0,0.0,0.0,"[""30974803661550435065497024077898215234773993620334361674235029326635053429067"", ""38578322631585739140935890178555087862541618559056954394954781749050199794931""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,7293.09307,False,True,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce200,0xbda4baff4fa2df29be2a59271f8fa11fa95ea920409d6ed06d0a67db4405802f,False,False,False,False,True,"[{'id': '11654', 'conditionId': '0x5223a88202095ceb6b3091bf8ac2aaba5b74e92ec846b1a5cd37a1e51f59f48b', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-12-11', 'endDate': '2500-12-31'}]",50,3.5,0.001,-0.4195,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,7293.09307,0.0,2025-01-10,2024-12-11,True,True,2024-12-11T21:30:55Z,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
515424,LABOR_MARKET,Will US unemployment be 4.3% in December 2024?,0x14703a80cc0238cd7264712e27fb3470b5be4f69fba7974eaf8675788f427604,december-unemployment-rate,,2025-01-10,2024-12-11T21:32:26.5339Z,https://polymarket-upload.s3.us-east-2.amazonaws.com/december-unemployment-rate-8CZdTVSmXwhb.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/unemployed1.png,"[""Yes"", ""No""]","[""0"", ""1""]",15272.565578,True,True,,2024-12-11T21:24:36.920158Z,2026-01-20T05:07:48.305939Z,2025-01-10 16:45:34+00,False,False,0x91430CaD2d3975766499717fA0D66A78D814E5c5,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,True,4.3%,2,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce202,2025-01-10T16:45:34Z,True,0.001,5,resolved,15272.565578,True,0.0,0.0,0.0,"[""77984883532732554097387283684414129882608779920707510411560337071298542230883"", ""18457798935286598660558169306902057478200292015582395230545328236986836898470""]",500.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,15272.565578,False,True,0x9ef8db32c6b8bd57d79218a14d85d851bf4f563e4646528c67812b7e425ce200,0x73628361e612ea8a5be1401d0e139ef014f2e24b29851280ed3911babb529c8f,False,False,False,False,True,"[{'id': '11653', 'conditionId': '0x14703a80cc0238cd7264712e27fb3470b5be4f69fba7974eaf8675788f427604', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2024-12-11', 'endDate': '2500-12-31'}]",50,3.5,0.001,-0.3545,0.0,0.0,0.0,0.0,1.0,,0.001,True,False,False,[],False,False,False,False,False,False,,15272.565578,0.0,2025-01-10,2024-12-11,True,True,2024-12-11T21:31:15Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNEMPLOYMENT_MONTHLY
