column,dtype,n_nonnan
Date,"datetime64[ns, UTC]",9673
SPY_chg,float64,1927
QQQ_chg,float64,1927
Gold_chg,float64,6334
Oil_chg,float64,6229
DXY_chg,float64,6600
BTC_chg,float64,9517
VIX_chg,float64,3932
SP500_fut_chg,float64,6325
US2Y_chg,float64,6268
US10Y_chg,float64,1939
is_weekend,int64,9673
hour_utc,int64,9673
dow_utc,int64,9673
Ann_CPI,int64,9673
Ann_Employment,int64,9673
Ann_FOMC,int64,9673
Ann_GDP,int64,9673
FED_DELTA,float64,9673
GDP_DELTA,float64,9673
UNEMPLOYMENT_DELTA,float64,9673
INF_YEARLY_DELTA,float64,9673
INF_MONTHLY_DELTA,float64,9673
fed_market_start,int64,9673
fed_market_end,int64,9673
gdp_market_start,int64,9673
gdp_market_end,int64,9673
labor_market_start,int64,9673
labor_market_end,int64,9673
inf_yearly_market_start,int64,9673
inf_yearly_market_end,int64,9673
inf_monthly_market_start,int64,9673
inf_monthly_market_end,int64,9673
FED_DELTA_is_missing,int64,9673
GDP_DELTA_is_missing,int64,9673
UNEMPLOYMENT_DELTA_is_missing,int64,9673
INF_YEARLY_DELTA_is_missing,int64,9673
INF_MONTHLY_DELTA_is_missing,int64,9673
