event,pm,asset,n_events,beta,pval_hc3
Ann_FOMC,FED_DELTA,BTC,9,-0.001548,0.8448
Ann_FOMC,FED_DELTA,Gold,9,0.010965,0.1617
Ann_FOMC,FED_DELTA,Oil,9,0.001807,0.8952
Ann_FOMC,FED_DELTA,SPY,9,-0.00248,0.7213
Ann_FOMC,FED_DELTA,QQQ,9,-0.00227,0.8382
Ann_FOMC,FED_DELTA,SP500_fut,9,0.003883,0.2551
Ann_CPI,INF_MONTHLY_DELTA,BTC,13,0.994862,0.1993
Ann_CPI,INF_MONTHLY_DELTA,Gold,13,0.150399,0.6557
Ann_CPI,INF_MONTHLY_DELTA,Oil,13,0.86252,0.0007
Ann_CPI,INF_MONTHLY_DELTA,SPY,13,0.118447,0.8346
Ann_CPI,INF_MONTHLY_DELTA,QQQ,13,0.11474,0.8753
Ann_CPI,INF_MONTHLY_DELTA,SP500_fut,13,0.33707,0.4488
Ann_Employment,UNEMPLOYMENT_DELTA,BTC,13,0.454627,0.4685
Ann_Employment,UNEMPLOYMENT_DELTA,Gold,12,-0.032229,0.8769
Ann_Employment,UNEMPLOYMENT_DELTA,Oil,12,0.378522,0.6365
Ann_Employment,UNEMPLOYMENT_DELTA,SPY,12,0.269224,0.6439
Ann_Employment,UNEMPLOYMENT_DELTA,QQQ,12,0.269044,0.6487
Ann_Employment,UNEMPLOYMENT_DELTA,SP500_fut,12,0.046984,0.852
Ann_GDP,GDP_DELTA,BTC,12,-0.026258,0.3256
Ann_GDP,GDP_DELTA,Gold,12,0.005151,0.86
Ann_GDP,GDP_DELTA,Oil,12,-0.030594,0.5604
Ann_GDP,GDP_DELTA,SPY,12,-0.017609,0.4771
Ann_GDP,GDP_DELTA,QQQ,12,-0.02707,0.3708
Ann_GDP,GDP_DELTA,SP500_fut,12,-0.003337,0.8378
