Signal,Asset,r (raw),p (raw),r (winsorised),r (Spearman),r (lagged),p (lagged),N,Fragile?
Fed Rate,SPY,0.0385,0.0913,0.0288,0.0138,0.073,0.0013,1927,No
Fed Rate,QQQ,0.0368,0.1067,0.0304,0.0124,0.0642,0.0048,1927,No
Fed Rate,Gold,0.0061,0.6264,0.0124,0.0132,-0.0026,0.8378,6334,No
Fed Rate,Oil,0.0016,0.9002,0.0055,0.0173,0.0066,0.6028,6229,No
Fed Rate,USD (DXY),0.0255,0.0385,0.0218,-0.0021,0.0138,0.2627,6600,No
Fed Rate,Bitcoin,0.0166,0.105,0.012,0.0036,-0.0053,0.6076,9517,No
Fed Rate,VIX,-0.0147,0.3572,-0.0021,-0.0013,-0.0064,0.6902,3932,Yes
Fed Rate,S&P Fut.,-0.0003,0.9802,-0.0073,0.0055,0.01,0.4281,6325,No
Fed Rate,2Y Yield,0.0143,0.2563,0.0243,0.009,-0.0304,0.0163,6268,No
Fed Rate,10Y Yield,0.1432,0.0,0.0899,0.081,0.0116,0.6092,1939,Yes
GDP Growth,SPY,0.0146,0.5283,0.0191,0.0193,-0.0039,0.8644,1876,No
GDP Growth,QQQ,0.0058,0.8004,0.0152,0.0178,0.0068,0.7698,1876,No
GDP Growth,Gold,-0.0013,0.9165,0.008,0.0003,-0.0052,0.6814,6179,No
GDP Growth,Oil,-0.0044,0.7295,0.0116,0.0193,-0.0024,0.8546,6076,No
GDP Growth,USD (DXY),0.0229,0.0666,0.0053,-0.0086,-0.012,0.3376,6440,Yes
GDP Growth,Bitcoin,-0.0078,0.4507,-0.0079,0.0053,-0.0101,0.3312,9277,No
GDP Growth,VIX,0.0018,0.9133,-0.0024,-0.0244,-0.0089,0.5815,3829,No
GDP Growth,S&P Fut.,0.0111,0.385,0.0184,0.021,0.0044,0.7309,6170,No
GDP Growth,2Y Yield,-0.0142,0.2674,-0.0254,-0.0116,0.0089,0.4853,6113,No
GDP Growth,10Y Yield,0.0138,0.5502,0.0198,0.0031,0.0188,0.4139,1890,No
Unemployment,SPY,0.0184,0.4832,-0.0023,-0.0154,-0.0857,0.001,1454,Yes
Unemployment,QQQ,0.0192,0.4636,-0.0047,-0.0179,-0.0754,0.0039,1454,Yes
Unemployment,Gold,0.0226,0.1173,0.0031,-0.0161,0.0063,0.6625,4820,Yes
Unemployment,Oil,0.0517,0.0004,0.0336,0.0113,0.0038,0.7925,4740,Yes
Unemployment,USD (DXY),-0.0121,0.3933,-0.0029,-0.0078,0.0003,0.9855,5021,No
Unemployment,Bitcoin,-0.0185,0.1206,-0.0123,-0.0201,-0.005,0.6752,7036,No
Unemployment,VIX,0.0238,0.195,0.0376,-0.0061,0.0135,0.4615,2964,No
Unemployment,S&P Fut.,-0.0372,0.0099,-0.0217,-0.0086,-0.0384,0.0077,4811,Yes
Unemployment,2Y Yield,-0.0115,0.4285,-0.0279,-0.0132,0.0625,0.0,4775,No
Unemployment,10Y Yield,-0.0768,0.0032,-0.0528,-0.0147,-0.0261,0.3166,1469,Yes
Yearly Inflation,SPY,-0.0785,0.009,-0.0391,-0.0245,-0.0604,0.0444,1104,Yes
Yearly Inflation,QQQ,-0.072,0.0167,-0.0333,-0.0247,-0.0719,0.0167,1104,Yes
Yearly Inflation,Gold,0.0093,0.5694,0.008,0.0032,-0.0139,0.3985,3710,No
Yearly Inflation,Oil,-0.0231,0.1634,-0.0156,-0.0316,0.0362,0.0288,3639,No
Yearly Inflation,USD (DXY),-0.038,0.018,-0.0314,-0.0144,-0.0022,0.8933,3874,No
Yearly Inflation,Bitcoin,-0.0226,0.0896,-0.0529,-0.0232,-0.0124,0.3522,5635,No
Yearly Inflation,VIX,0.0758,0.0003,0.07,0.066,-0.0179,0.3921,2290,No
Yearly Inflation,S&P Fut.,-0.119,0.0,-0.0885,-0.064,0.038,0.0206,3702,Yes
Yearly Inflation,2Y Yield,0.0253,0.1251,0.0293,0.0315,-0.0054,0.7446,3665,No
Yearly Inflation,10Y Yield,-0.1237,0.0,-0.0332,0.012,0.0099,0.7409,1120,Yes
Monthly Inflation,SPY,0.0041,0.8716,0.0051,0.0207,0.0214,0.3977,1561,No
Monthly Inflation,QQQ,0.0108,0.6689,0.0111,0.0122,0.0076,0.7649,1561,No
Monthly Inflation,Gold,0.0157,0.2576,0.0031,0.005,-0.0122,0.3783,5174,Yes
Monthly Inflation,Oil,-0.0598,0.0,0.0122,0.0156,0.0238,0.0896,5069,Yes
Monthly Inflation,USD (DXY),-0.0021,0.8789,-0.0055,-0.0017,0.0026,0.8497,5388,No
Monthly Inflation,Bitcoin,0.045,0.0001,0.0079,-0.0009,-0.0121,0.2866,7726,Yes
Monthly Inflation,VIX,-0.0287,0.1042,-0.0261,-0.034,0.0296,0.0934,3207,No
Monthly Inflation,S&P Fut.,0.0351,0.0117,0.0298,0.0175,-0.0106,0.4484,5159,No
Monthly Inflation,2Y Yield,-0.0103,0.4607,-0.0116,0.0035,0.0003,0.9824,5106,No
Monthly Inflation,10Y Yield,0.0296,0.2401,-0.0159,0.0072,-0.0006,0.98,1580,Yes
