Variable,Type,N,% liquid,Mean,Std,Min,Max,Skew,Kurt,% near zero (|x|<0.001)
Fed Rate,Polymarket,9673,100.0,0.0007920084107728076,0.20989283992884653,-4.19478685190453,4.339390322828009,-1.148830419192859,136.94750725301344,6.1
GDP Growth,Polymarket,9433,97.5,0.00041987886291231413,0.0646460613790243,-0.8531717185855427,0.8422823086218614,0.19644475385068882,93.94786558265785,30.4
Unemployment,Polymarket,7149,73.9,7.8394546239585e-06,0.004000154201725234,-0.1954233184662825,0.1088668816213811,-11.649674382422457,920.8316209912631,69.5
Yearly Inflation,Polymarket,5730,59.2,0.0004911649214659646,0.03897345587228091,-0.5755000000000052,2.008500000000012,24.816609071696867,1264.3358927774157,31.7
Monthly Inflation,Polymarket,7878,81.4,-4.270934641635141e-05,0.00660287350693644,-0.1650497053463908,0.1779900287031921,-0.2886123713734007,344.28731993983615,65.8
SPY,Asset,1927,19.9,9.408720531282021e-05,0.004303360859539463,-0.039710654042472,0.0494732438486842,0.48890780101978215,25.42485743505011,40.3
QQQ,Asset,1927,19.9,0.00012259636554877166,0.005268691664023817,-0.0416019107549566,0.0538789832860691,0.4967146364948646,17.89137176438856,34.4
Gold,Asset,6334,65.5,8.340987897567992e-05,0.003514624523938054,-0.0565399007088663,0.0290592432854697,-1.001280589491098,21.18187677660473,38.6
Oil,Asset,6229,64.4,7.743884369949796e-05,0.0067334165656781604,-0.1051949870636725,0.1764576528743051,1.4687162490967998,114.87750776133458,28.7
USD (DXY),Asset,6600,68.2,-9.755760712894358e-06,0.0008792726435428292,-0.011410921199483,0.0097533101262854,-0.5064868267983199,13.627552200166193,83.3
Bitcoin,Asset,9517,98.4,-7.032639322700629e-06,0.00482516582098607,-0.1306669452155813,0.0508420313183435,-2.315458892915035,64.85343400720467,27.9
VIX,Asset,3932,40.6,0.00029806566598508845,0.026697840153584975,-0.2649989681619784,0.2673745008475365,1.5934262854161696,18.848014478306958,6.0
S&P Fut.,Asset,6325,65.4,2.8980137352715055e-05,0.0025666285718528893,-0.0399274047186932,0.0673053182558887,2.5149455313232214,95.66020092397987,59.2
2Y Yield,Asset,6268,64.8,3.585494335882778e-07,0.0003027330635505154,-0.003348004363691,0.0047281323877068,0.9916079232317633,53.491533450412824,98.8
10Y Yield,Asset,1939,20.0,2.2744695374276082e-05,0.004425713138719861,-0.0407530981345849,0.032848395994568,-0.39023623799877416,11.509238100298077,36.0
