Variable,Type,N,% liquid,Mean,Std,Skew,Kurt
Fed Rate,Polymarket,9673,100.0%,0.000792,0.209893,-1.15,136.9
GDP Growth,Polymarket,9433,97.5%,0.000420,0.064646,0.20,93.9
Unemployment,Polymarket,7149,73.9%,0.000008,0.004000,-11.65,920.8
Yearly Inflation,Polymarket,5730,59.2%,0.000491,0.038973,24.82,1264.3
Monthly Inflation,Polymarket,7878,81.4%,-0.000043,0.006603,-0.29,344.3
SPY,Asset,1927,19.9%,0.000094,0.004303,0.49,25.4
QQQ,Asset,1927,19.9%,0.000123,0.005269,0.50,17.9
Gold,Asset,6334,65.5%,0.000083,0.003515,-1.00,21.2
Oil,Asset,6229,64.4%,0.000077,0.006733,1.47,114.9
USD (DXY),Asset,6600,68.2%,-0.000010,0.000879,-0.51,13.6
Bitcoin,Asset,9517,98.4%,-0.000007,0.004825,-2.32,64.9
VIX,Asset,3932,40.6%,0.000298,0.026698,1.59,18.8
S&P Fut.,Asset,6325,65.4%,0.000029,0.002567,2.51,95.7
2Y Yield,Asset,6268,64.8%,0.000000,0.000303,0.99,53.5
10Y Yield,Asset,1939,20.0%,0.000023,0.004426,-0.39,11.5
