column,dtype,n_nonnan
Date,"datetime64[ns, UTC]",13377
SPY_chg,float64,2669
QQQ_chg,float64,2669
Gold_chg,float64,8762
Oil_chg,float64,8654
DXY_chg,float64,9126
BTC_chg,float64,13188
VIX_chg,float64,5450
SP500_fut_chg,float64,8749
US2Y_chg,float64,8697
US10Y_chg,float64,2681
is_weekend,int64,13377
hour_utc,int64,13377
dow_utc,int64,13377
Ann_CPI,int64,13377
Ann_Employment,int64,13377
Ann_FOMC,int64,13377
Ann_GDP,int64,13377
FED_DELTA,float64,13377
GDP_DELTA,float64,13377
UNEMPLOYMENT_DELTA,float64,13377
INF_MONTHLY_DELTA,float64,13377
fed_market_start,int64,13377
fed_market_end,int64,13377
gdp_market_start,int64,13377
gdp_market_end,int64,13377
labor_market_start,int64,13377
labor_market_end,int64,13377
inf_monthly_market_start,int64,13377
inf_monthly_market_end,int64,13377
FED_DELTA_is_missing,int64,13377
GDP_DELTA_is_missing,int64,13377
UNEMPLOYMENT_DELTA_is_missing,int64,13377
INF_MONTHLY_DELTA_is_missing,int64,13377
