pm,asset,h,n_trades,mean_ret,cumulative_ret,gross_sharpe,net_sharpe,max_drawdown,dir_accuracy,binom_p
FED_DELTA,BTC,2,775,-0.0001490929663478397,-0.11554704891957576,-1.553724170305378,-2.5958418559113365,-0.4074640991050042,0.49548387096774194,0.6130740308303817
UNEMPLOYMENT_DELTA,BTC,3,499,-0.0006728065056321748,-0.33573044631045523,-6.425889066017087,-7.3809763031684685,-0.47726313194069575,0.4709418837675351,0.9103906217576077
FED_DELTA,Gold,2,542,-6.947111120503714e-05,-0.03765334227313013,-1.1814404865776564,-2.8820617463855656,-0.12887330423720184,0.4944649446494465,0.6181530361381732
GDP_DELTA,Gold,6,286,-0.00041846683685605764,-0.11968151534083249,-3.9836934604180865,-4.935666976491088,-0.26224862641462204,0.493006993006993,0.6162234860400033
UNEMPLOYMENT_DELTA,Gold,2,359,0.00023419804512004054,0.08407709819809456,3.9824275440328627,2.281974603876326,-0.06867025176450123,0.532033426183844,0.12277853565869251
INF_MONTHLY_DELTA,Gold,2,416,0.00032575135274081496,0.13551256274017903,7.035166199524439,4.875492528077865,-0.06658836695777154,0.5288461538461539,0.12971729537010038
FED_DELTA,Oil,6,318,-0.00016326712854667825,-0.05191894687784368,-0.9103972470855467,-2.0256214262445047,-0.3055279974557435,0.550314465408805,0.04098955773004124
GDP_DELTA,Oil,2,495,0.0002486086907296922,0.12306130191119763,1.5282266971376812,0.29880330678702366,-0.35835786049748863,0.5131313131313131,0.2948415779755116
INF_MONTHLY_DELTA,Oil,5,269,5.044133166519293e-05,0.013568718217936898,0.26937965785571344,-0.7987113261164606,-0.26762752455916217,0.4721189591078067,0.8353490855184402
FED_DELTA,SPY,1,284,0.0001448177305900589,0.04112823548757673,2.515256190996648,-0.9584292213465135,-0.09391999989794281,0.45774647887323944,0.931095461629224
UNEMPLOYMENT_DELTA,SPY,6,61,-0.001100911245764306,-0.06715558599162266,-8.145326619544552,-9.625069269260091,-0.18601393497499352,0.4262295081967213,0.8999843157434484
FED_DELTA,QQQ,2,216,9.807153520148831e-05,0.021183451603521475,1.0802876236931365,-1.122772869800071,-0.16616354817889933,0.44907407407407407,0.9413054485363691
UNEMPLOYMENT_DELTA,QQQ,1,188,0.000269077477629214,0.050586565794292236,3.0244503498490474,0.7764358549185509,-0.06748710699645824,0.4946808510638298,0.5865598419713128
FED_DELTA,SP500_fut,2,541,-5.812949502215659e-05,-0.031448056806986716,-1.2214227084426472,-3.322632615697288,-0.08024568601993842,0.4713493530499076,0.9155855344619226
UNEMPLOYMENT_DELTA,SP500_fut,1,440,-0.00029596189401442154,-0.13022323336634548,-8.440498818501203,-11.292385831391423,-0.15707657421088075,0.46136363636363636,0.9524535796810493
