asset,pm_signal,peak_lag_dlm,beta_at_peak,p_at_peak
BTC,FED_DELTA,2,0.0013717,0.0141
BTC,UNEMPLOYMENT_DELTA,5,0.0419101,0.0955
Gold,GDP_DELTA,6,0.0027757,0.0539
Gold,INF_MONTHLY_DELTA,1,-0.0122536,0.0397
Oil,FED_DELTA,3,-0.0009029,0.0724
Oil,GDP_DELTA,6,0.0052892,0.0121
Oil,UNEMPLOYMENT_DELTA,4,-0.0638162,0.0143
Oil,INF_MONTHLY_DELTA,6,-0.0555043,0.0146
SPY,FED_DELTA,2,0.0009182,0.0316
SPY,UNEMPLOYMENT_DELTA,2,0.0119227,0.077
SPY,INF_MONTHLY_DELTA,3,-0.0216741,0.0917
QQQ,FED_DELTA,2,0.0011311,0.0174
QQQ,UNEMPLOYMENT_DELTA,2,0.0163056,0.0277
QQQ,INF_MONTHLY_DELTA,3,-0.0244536,0.0805
SP500_fut,FED_DELTA,6,0.0009839,0.0292
SP500_fut,GDP_DELTA,6,0.001844,0.0525
SP500_fut,INF_MONTHLY_DELTA,5,0.0114392,0.063
