event,pm,asset,n_events,beta,pval_hc3
Ann_FOMC,FED_DELTA,BTC,13,0.005983,0.5229
Ann_FOMC,FED_DELTA,Gold,13,0.010653,0.0942
Ann_FOMC,FED_DELTA,Oil,13,0.001964,0.836
Ann_FOMC,FED_DELTA,SPY,13,-0.00014,0.9816
Ann_FOMC,FED_DELTA,QQQ,13,0.00112,0.9009
Ann_FOMC,FED_DELTA,SP500_fut,13,0.006744,0.1194
Ann_CPI,INF_MONTHLY_DELTA,BTC,18,0.740621,0.1457
Ann_CPI,INF_MONTHLY_DELTA,Gold,18,0.088126,0.7359
Ann_CPI,INF_MONTHLY_DELTA,Oil,18,0.401852,0.2494
Ann_CPI,INF_MONTHLY_DELTA,SPY,18,-0.2912,0.4195
Ann_CPI,INF_MONTHLY_DELTA,QQQ,18,-0.38044,0.4134
Ann_CPI,INF_MONTHLY_DELTA,SP500_fut,18,0.1066,0.662
Ann_Employment,UNEMPLOYMENT_DELTA,BTC,18,0.290439,0.612
Ann_Employment,UNEMPLOYMENT_DELTA,Gold,17,-0.215451,0.4477
Ann_Employment,UNEMPLOYMENT_DELTA,Oil,17,0.113497,0.8499
Ann_Employment,UNEMPLOYMENT_DELTA,SPY,17,0.17716,0.6972
Ann_Employment,UNEMPLOYMENT_DELTA,QQQ,17,0.01965,0.9665
Ann_Employment,UNEMPLOYMENT_DELTA,SP500_fut,17,-0.002891,0.9891
Ann_GDP,GDP_DELTA,BTC,17,-0.023153,0.2633
Ann_GDP,GDP_DELTA,Gold,17,0.004416,0.8862
Ann_GDP,GDP_DELTA,Oil,17,-0.033956,0.5248
Ann_GDP,GDP_DELTA,SPY,17,-0.01788,0.5097
Ann_GDP,GDP_DELTA,QQQ,17,-0.027726,0.4562
Ann_GDP,GDP_DELTA,SP500_fut,17,-0.002554,0.8699
