pm_signal,asset,h,rank,feature,importance
FED_DELTA,BTC_chg,1,1,US2Y_chg_L1,198.66666666666666
FED_DELTA,BTC_chg,1,2,pm_delta,197.66666666666666
FED_DELTA,BTC_chg,1,3,DXY_chg_L1,193.0
FED_DELTA,BTC_chg,1,4,pm_z,191.33333333333334
FED_DELTA,BTC_chg,1,5,BTC_chg_vol20,184.33333333333334
FED_DELTA,Gold_chg,2,1,DXY_chg_L1,218.33333333333334
FED_DELTA,Gold_chg,2,2,Gold_chg_vol20,215.33333333333334
FED_DELTA,Gold_chg,2,3,US2Y_chg_L1,179.33333333333334
FED_DELTA,Gold_chg,2,4,pm_z,166.0
FED_DELTA,Gold_chg,2,5,pm_vol,162.0
FED_DELTA,Oil_chg,1,1,Oil_chg_vol20,257.6666666666667
FED_DELTA,Oil_chg,1,2,DXY_chg_L1,181.33333333333334
FED_DELTA,Oil_chg,1,3,US2Y_chg_L1,170.66666666666666
FED_DELTA,Oil_chg,1,4,pm_vol,169.33333333333334
FED_DELTA,Oil_chg,1,5,pm_delta,154.33333333333334
GDP_DELTA,BTC_chg,4,1,pm_vol,220.0
GDP_DELTA,BTC_chg,4,2,US2Y_chg_L1,212.0
GDP_DELTA,BTC_chg,4,3,DXY_chg_L1,211.33333333333334
GDP_DELTA,BTC_chg,4,4,BTC_chg_vol20,174.33333333333334
GDP_DELTA,BTC_chg,4,5,pm_z,165.66666666666666
GDP_DELTA,Gold_chg,6,1,Gold_chg_vol20,351.5
GDP_DELTA,Gold_chg,6,2,DXY_chg_L1,216.5
GDP_DELTA,Gold_chg,6,3,pm_delta,179.5
GDP_DELTA,Gold_chg,6,4,US2Y_chg_L1,157.0
GDP_DELTA,Gold_chg,6,5,pm_z,141.0
GDP_DELTA,Oil_chg,2,1,DXY_chg_L1,241.0
GDP_DELTA,Oil_chg,2,2,Oil_chg_vol20,205.33333333333334
GDP_DELTA,Oil_chg,2,3,pm_delta,199.33333333333334
GDP_DELTA,Oil_chg,2,4,US2Y_chg_L1,191.33333333333334
GDP_DELTA,Oil_chg,2,5,pm_vol,175.66666666666666
INF_MONTHLY_DELTA,BTC_chg,1,1,US2Y_chg_L1,223.33333333333334
INF_MONTHLY_DELTA,BTC_chg,1,2,BTC_chg_vol20,216.33333333333334
INF_MONTHLY_DELTA,BTC_chg,1,3,DXY_chg_L1,200.0
INF_MONTHLY_DELTA,BTC_chg,1,4,pm_vol,177.66666666666666
INF_MONTHLY_DELTA,BTC_chg,1,5,pm_z,168.33333333333334
INF_MONTHLY_DELTA,Gold_chg,1,1,Gold_chg_vol20,280.5
INF_MONTHLY_DELTA,Gold_chg,1,2,DXY_chg_L1,200.0
INF_MONTHLY_DELTA,Gold_chg,1,3,US2Y_chg_L1,189.0
INF_MONTHLY_DELTA,Gold_chg,1,4,pm_z,175.5
INF_MONTHLY_DELTA,Gold_chg,1,5,pm_vol,156.5
INF_MONTHLY_DELTA,Oil_chg,5,1,DXY_chg_L1,256.0
INF_MONTHLY_DELTA,Oil_chg,5,2,Oil_chg_vol20,209.0
INF_MONTHLY_DELTA,Oil_chg,5,3,pm_z,201.5
INF_MONTHLY_DELTA,Oil_chg,5,4,US2Y_chg_L1,155.5
INF_MONTHLY_DELTA,Oil_chg,5,5,pm_delta,152.0
UNEMPLOYMENT_DELTA,BTC_chg,1,1,US2Y_chg_L1,313.5
UNEMPLOYMENT_DELTA,BTC_chg,1,2,DXY_chg_L1,211.5
UNEMPLOYMENT_DELTA,BTC_chg,1,3,pm_delta,182.0
UNEMPLOYMENT_DELTA,BTC_chg,1,4,pm_vol,163.5
UNEMPLOYMENT_DELTA,BTC_chg,1,5,BTC_chg_vol20,154.0
UNEMPLOYMENT_DELTA,Gold_chg,2,1,Gold_chg_vol20,276.5
UNEMPLOYMENT_DELTA,Gold_chg,2,2,DXY_chg_L1,206.5
UNEMPLOYMENT_DELTA,Gold_chg,2,3,US2Y_chg_L1,199.0
UNEMPLOYMENT_DELTA,Gold_chg,2,4,pm_z,186.5
UNEMPLOYMENT_DELTA,Gold_chg,2,5,pm_delta,161.0
UNEMPLOYMENT_DELTA,Oil_chg,1,1,DXY_chg_L1,216.5
UNEMPLOYMENT_DELTA,Oil_chg,1,2,pm_delta,207.0
UNEMPLOYMENT_DELTA,Oil_chg,1,3,US2Y_chg_L1,197.0
UNEMPLOYMENT_DELTA,Oil_chg,1,4,pm_z,175.0
UNEMPLOYMENT_DELTA,Oil_chg,1,5,pm_vol,159.5
