pm_signal,asset,optimal_h,beta_optimal,p_optimal
FED_DELTA,Gold_chg,2,-0.00039721254153204195,0.03614482151426868
FED_DELTA,Oil_chg,6,0.0005665607133381697,0.057897669773227675
FED_DELTA,SPY_chg,1,0.0011272255213497615,0.03227524397248952
GDP_DELTA,Gold_chg,6,-0.0009741462160278054,0.07596163029229067
GDP_DELTA,Oil_chg,2,0.0018814652006094294,0.042313257511998464
INF_MONTHLY_DELTA,Gold_chg,2,-0.007924595451136017,0.045868299113885
INF_MONTHLY_DELTA,Oil_chg,5,0.04774950728151865,0.02795839778991323
UNEMPLOYMENT_DELTA,BTC_chg,3,-0.02535560736171632,0.09182851771408779
UNEMPLOYMENT_DELTA,Gold_chg,2,0.020060145383158246,0.07688062978356357
UNEMPLOYMENT_DELTA,SPY_chg,6,-0.0350757292807443,0.012810295766768318
