pm_signal,asset,h,n_panel,n_oos,DA_OOS_LGBM,DA_OOS_OLS,DA_random,p_binom_vs_random,p_mcnemar_vs_ols,lgbm_beats_ols,lgbm_beats_random
FED_DELTA,Gold_chg,2,616,369,0.4796747967479675,0.4715447154471545,0.5,0.79754052473225,0.5300287213306096,1,0
FED_DELTA,BTC_chg,1,723,432,0.4675925925925926,0.5069444444444444,0.5,0.9185701007286451,0.9209173273995297,0,0
FED_DELTA,Oil_chg,1,625,375,0.49333333333333335,0.498,0.5,0.6216344088759453,0.46889529322233403,0,0
GDP_DELTA,Gold_chg,6,510,306,0.4803921568627451,0.49754901960784315,0.5,0.771280037253206,0.7452492056825054,0,0
GDP_DELTA,BTC_chg,1,649,387,0.5012919896640827,0.5096899224806202,0.5,0.5000000000000006,0.689635535951584,0,0
GDP_DELTA,Oil_chg,2,544,324,0.5061728395061729,0.5092592592592593,0.5,0.4338326389115313,0.713577015500146,0,0
UNEMPLOYMENT_DELTA,Gold_chg,2,391,156,0.5064102564102564,0.5096153846153846,0.5,0.46811020065115677,0.7084339228694119,0,0
UNEMPLOYMENT_DELTA,BTC_chg,1,473,188,0.48404255319148937,0.5106382978723404,0.5,0.6950998011857608,0.5000000000000002,0,0
UNEMPLOYMENT_DELTA,Oil_chg,1,389,154,0.487012987012987,0.4318181818181818,0.5,0.6564253906156738,0.11754878120417094,1,0
INF_MONTHLY_DELTA,Gold_chg,1,512,306,0.4673202614379085,0.46568627450980393,0.5,0.8850532492504782,0.4668124767744012,1,0
INF_MONTHLY_DELTA,BTC_chg,1,592,354,0.4717514124293785,0.4724576271186441,0.5,0.8678319717460905,0.8308823346024939,0,0
INF_MONTHLY_DELTA,Oil_chg,1,501,200,0.525,0.485,0.5,0.2623111778611574,0.1356265120369177,1,0
