pm_signal,asset,h,rank,feature,importance
FED_DELTA,BTC_chg,1,1,US2Y_chg_L1,207.66666666666666
FED_DELTA,BTC_chg,1,2,pm_delta,203.33333333333334
FED_DELTA,BTC_chg,1,3,BTC_chg_vol20,191.0
FED_DELTA,BTC_chg,1,4,pm_vol,185.33333333333334
FED_DELTA,BTC_chg,1,5,DXY_chg_L1,181.66666666666666
FED_DELTA,Gold_chg,2,1,Gold_chg_vol20,222.0
FED_DELTA,Gold_chg,2,2,DXY_chg_L1,215.5
FED_DELTA,Gold_chg,2,3,US2Y_chg_L1,203.5
FED_DELTA,Gold_chg,2,4,pm_z,188.0
FED_DELTA,Gold_chg,2,5,pm_delta,157.5
FED_DELTA,Oil_chg,1,1,Oil_chg_vol20,258.5
FED_DELTA,Oil_chg,1,2,US2Y_chg_L1,182.5
FED_DELTA,Oil_chg,1,3,pm_vol,179.5
FED_DELTA,Oil_chg,1,4,DXY_chg_L1,169.0
FED_DELTA,Oil_chg,1,5,pm_delta,157.0
GDP_DELTA,BTC_chg,1,1,DXY_chg_L1,215.0
GDP_DELTA,BTC_chg,1,2,pm_z,195.33333333333334
GDP_DELTA,BTC_chg,1,3,pm_vol,192.66666666666666
GDP_DELTA,BTC_chg,1,4,BTC_chg_vol20,180.0
GDP_DELTA,BTC_chg,1,5,US2Y_chg_L1,179.0
GDP_DELTA,Gold_chg,6,1,Gold_chg_vol20,276.0
GDP_DELTA,Gold_chg,6,2,DXY_chg_L1,203.5
GDP_DELTA,Gold_chg,6,3,US2Y_chg_L1,197.0
GDP_DELTA,Gold_chg,6,4,pm_delta,168.0
GDP_DELTA,Gold_chg,6,5,pm_vol,167.0
GDP_DELTA,Oil_chg,2,1,DXY_chg_L1,256.0
GDP_DELTA,Oil_chg,2,2,Oil_chg_vol20,210.0
GDP_DELTA,Oil_chg,2,3,pm_delta,198.5
GDP_DELTA,Oil_chg,2,4,US2Y_chg_L1,182.0
GDP_DELTA,Oil_chg,2,5,pm_vol,168.5
INF_MONTHLY_DELTA,BTC_chg,1,1,BTC_chg_vol20,247.0
INF_MONTHLY_DELTA,BTC_chg,1,2,pm_z,210.5
INF_MONTHLY_DELTA,BTC_chg,1,3,US2Y_chg_L1,198.5
INF_MONTHLY_DELTA,BTC_chg,1,4,DXY_chg_L1,181.5
INF_MONTHLY_DELTA,BTC_chg,1,5,pm_delta,154.5
INF_MONTHLY_DELTA,Gold_chg,2,1,Gold_chg_vol20,238.0
INF_MONTHLY_DELTA,Gold_chg,2,2,DXY_chg_L1,218.0
INF_MONTHLY_DELTA,Gold_chg,2,3,pm_delta,180.5
INF_MONTHLY_DELTA,Gold_chg,2,4,US2Y_chg_L1,173.0
INF_MONTHLY_DELTA,Gold_chg,2,5,pm_z,171.5
INF_MONTHLY_DELTA,Oil_chg,5,1,DXY_chg_L1,240.0
INF_MONTHLY_DELTA,Oil_chg,5,2,Oil_chg_vol20,217.0
INF_MONTHLY_DELTA,Oil_chg,5,3,pm_z,203.0
INF_MONTHLY_DELTA,Oil_chg,5,4,pm_vol,169.0
INF_MONTHLY_DELTA,Oil_chg,5,5,pm_delta,140.0
UNEMPLOYMENT_DELTA,BTC_chg,1,1,US2Y_chg_L1,300.5
UNEMPLOYMENT_DELTA,BTC_chg,1,2,pm_delta,199.5
UNEMPLOYMENT_DELTA,BTC_chg,1,3,DXY_chg_L1,198.0
UNEMPLOYMENT_DELTA,BTC_chg,1,4,BTC_chg_vol20,180.5
UNEMPLOYMENT_DELTA,BTC_chg,1,5,pm_z,150.0
UNEMPLOYMENT_DELTA,Gold_chg,1,1,Gold_chg_vol20,240.5
UNEMPLOYMENT_DELTA,Gold_chg,1,2,pm_z,198.0
UNEMPLOYMENT_DELTA,Gold_chg,1,3,pm_delta,178.0
UNEMPLOYMENT_DELTA,Gold_chg,1,4,DXY_chg_L1,160.0
UNEMPLOYMENT_DELTA,Gold_chg,1,5,US2Y_chg_L1,155.0
UNEMPLOYMENT_DELTA,Oil_chg,1,1,pm_delta,202.0
UNEMPLOYMENT_DELTA,Oil_chg,1,2,DXY_chg_L1,192.0
UNEMPLOYMENT_DELTA,Oil_chg,1,3,US2Y_chg_L1,188.5
UNEMPLOYMENT_DELTA,Oil_chg,1,4,pm_vol,177.5
UNEMPLOYMENT_DELTA,Oil_chg,1,5,pm_z,170.0
