pm_signal,asset,h,n_panel,n_oos,DA_OOS_LGBM,DA_OOS_OLS,DA_random,p_binom_vs_random,p_mcnemar_vs_ols,lgbm_beats_ols,lgbm_beats_random
FED_DELTA,Gold_chg,2,496,198,0.5,0.47474747474747475,0.5,0.5283158185976162,0.38545949546855657,1,0
FED_DELTA,BTC_chg,1,572,342,0.49415204678362573,0.506578947368421,0.5,0.6065382268572386,0.7383496032812968,0,0
FED_DELTA,Oil_chg,1,493,196,0.49489795918367346,0.4846938775510204,0.5,0.5848037206730643,0.4179230673157429,1,0
GDP_DELTA,Gold_chg,6,439,174,0.4942528735632184,0.48563218390804597,0.5,0.5899145712985101,0.3655044411113028,1,0
GDP_DELTA,BTC_chg,1,545,327,0.5351681957186545,0.48853211009174313,0.5,0.11184954135044195,0.1611538243043875,1,0
GDP_DELTA,Oil_chg,2,460,184,0.46195652173913043,0.5135869565217391,0.5,0.86562008733778,0.9033260477521786,0,0
UNEMPLOYMENT_DELTA,Gold_chg,1,350,140,0.5428571428571428,0.5107142857142857,0.5,0.1762919135361387,0.5964026543164876,1,0
UNEMPLOYMENT_DELTA,BTC_chg,1,414,164,0.5060975609756098,0.5182926829268293,0.5,0.46889529322233386,0.5462196911937508,0,0
UNEMPLOYMENT_DELTA,Oil_chg,1,344,136,0.45588235294117646,0.40441176470588236,0.5,0.8675535047970893,0.021478272762194606,1,0
INF_MONTHLY_DELTA,Gold_chg,2,410,164,0.5609756097560976,0.5426829268292683,0.5,0.06883082509873274,0.755772165310054,1,0
INF_MONTHLY_DELTA,BTC_chg,1,473,188,0.5159574468085106,0.4867021276595745,0.5,0.3577344646752402,0.8183229061679732,1,0
INF_MONTHLY_DELTA,Oil_chg,5,367,146,0.5616438356164384,0.4828767123287671,0.5,0.07960791112316071,0.07044771179924035,1,0
